team,pts,spi,exp_pts_mc,win_league_pct,make_acl_pct
Lion City Sailors,15.0,89.01237030449491,45.4263,79.815,95.215
Tampines Rovers,8.0,90.6703165752202,37.84285,14.21,61.12
Albirex Niigata,7.0,77.08447038251988,33.1374,3.26,22.509999999999998
Geylang Int.,10.0,76.1009773818656,32.02195,2.205,15.260000000000002
Balestier Khalsa,8.0,66.96600591014534,27.96025,0.46499999999999997,4.715
Hougang Utd,3.0,74.59854182258105,24.45235,0.045,1.115
Tanjong Pagar Utd.,3.0,57.895777632340156,17.7232,0.0,0.04
Young Lions,0.0,65.43121199601202,16.94935,0.0,0.025
