season_id,season_label,event_id,home_team,away_team,match_url,match_date,home_expected_goals,away_expected_goals,is_future_fixture
48772,2023,11041346,DPMM,Albirex Niigata,https://www.sofascore.com/football/match/brunei-dpmm-fc-albirex-niigata-singapore/GGnsKGn#id:11041346,2023-07-08,0.84,2.72,0
48772,2023,11041347,Lion City Sailors,Young Lions,https://www.sofascore.com/football/match/young-lions-lion-city-sailors/QkbsHGn#id:11041347,2023-06-10,3.01,1.13,0
48772,2023,11041349,Hougang Utd,Tanjong Pagar Utd.,https://www.sofascore.com/football/match/hougang-united-tanjong-pagar-united/NkbsIGn#id:11041349,2023-08-19,2.73,1.12,0
48772,2023,11041350,Albirex Niigata,Tampines Rovers,https://www.sofascore.com/football/match/albirex-niigata-singapore-tampines-rovers/TkbsGGn#id:11041350,2023-07-28,2.42,1.56,0
48772,2023,11041351,Young Lions,Tampines Rovers,https://www.sofascore.com/football/match/young-lions-tampines-rovers/TkbsHGn#id:11041351,2023-07-15,1.69,2.39,0
48772,2023,11041352,Hougang Utd,Tampines Rovers,https://www.sofascore.com/football/match/hougang-united-tampines-rovers/TkbsIGn#id:11041352,2023-07-06,2.41,1.24,0
48772,2023,11041353,Balestier Khalsa,Young Lions,https://www.sofascore.com/football/match/young-lions-balestier-khalsa/OkbsHGn#id:11041353,2023-07-12,2.9,2.01,0
48772,2023,11041354,Tanjong Pagar Utd.,Young Lions,https://www.sofascore.com/football/match/young-lions-tanjong-pagar-united/NkbsHGn#id:11041354,2023-08-05,2.95,1.68,0
48772,2023,11041355,DPMM,Hougang Utd,https://www.sofascore.com/football/match/brunei-dpmm-fc-hougang-united/IGnsKGn#id:11041355,2023-06-07,1.24,2.65,0
48772,2023,11041356,Young Lions,Lion City Sailors,https://www.sofascore.com/football/match/young-lions-lion-city-sailors/QkbsHGn#id:11041356,2023-07-07,0.99,3.52,0
48772,2023,11041357,DPMM,Balestier Khalsa,https://www.sofascore.com/football/match/brunei-dpmm-fc-balestier-khalsa/OkbsKGn#id:11041357,2023-07-16,1.32,4.08,0
48772,2023,11041358,Tanjong Pagar Utd.,Balestier Khalsa,https://www.sofascore.com/football/match/balestier-khalsa-tanjong-pagar-united/NkbsOkb#id:11041358,2023-07-06,2.62,2.11,0
48772,2023,11041359,Balestier Khalsa,Lion City Sailors,https://www.sofascore.com/football/match/lion-city-sailors-balestier-khalsa/OkbsQkb#id:11041359,2023-06-01,2.04,1.36,0
48772,2023,11041360,Hougang Utd,Young Lions,https://www.sofascore.com/football/match/hougang-united-young-lions/HGnsIGn#id:11041360,2023-06-03,1.4,1.65,0
48772,2023,11041361,Geylang Int.,Tanjong Pagar Utd.,https://www.sofascore.com/football/match/geylang-international-tanjong-pagar-united/NkbsUkb#id:11041361,2023-05-21,3.67,0.88,0
48772,2023,11041362,Albirex Niigata,Balestier Khalsa,https://www.sofascore.com/football/match/albirex-niigata-singapore-balestier-khalsa/OkbsGGn#id:11041362,2023-05-26,2.98,1.4,0
48772,2023,11041363,Balestier Khalsa,DPMM,https://www.sofascore.com/football/match/brunei-dpmm-fc-balestier-khalsa/OkbsKGn#id:11041363,2023-05-20,1.26,1.8,0
48772,2023,11041364,DPMM,Tampines Rovers,https://www.sofascore.com/football/match/brunei-dpmm-fc-tampines-rovers/TkbsKGn#id:11041364,2023-05-28,0.5,1.53,0
48772,2023,11041365,Lion City Sailors,Tampines Rovers,https://www.sofascore.com/football/match/tampines-rovers-lion-city-sailors/QkbsTkb#id:11041365,2023-06-07,3.49,0.18,0
48772,2023,11041366,Young Lions,Albirex Niigata,https://www.sofascore.com/football/match/young-lions-albirex-niigata-singapore/GGnsHGn#id:11041366,2023-07-01,1.66,1.89,0
48772,2023,11041367,Young Lions,Geylang Int.,https://www.sofascore.com/football/match/young-lions-geylang-international/UkbsHGn#id:11041367,2023-05-27,1.38,2.05,0
