season_id,season_label,event_id,home_team,away_team,is_spl_match,match_url
78478,25/26,14195487,Albirex Niigata Singapore,Balestier Khalsa,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-balestier-khalsa/OkbsGGn#id:14195487
78478,25/26,14195482,Albirex Niigata Singapore,Geylang International,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-geylang-international/UkbsGGn#id:14195482
78478,25/26,14254081,Albirex Niigata Singapore,Geylang International,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-geylang-international/UkbsGGn#id:14254081
78478,25/26,14195505,Albirex Niigata Singapore,Lion City Sailors,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-lion-city-sailors/QkbsGGn#id:14195505
78478,25/26,14254830,Albirex Niigata Singapore,Tampines Rovers,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-tampines-rovers/TkbsGGn#id:14254830
78478,25/26,14195502,Balestier Khalsa,Tanjong Pagar United,1,https://www.sofascore.com/football/match/balestier-khalsa-tanjong-pagar-united/NkbsOkb#id:14195502
78478,25/26,14566651,Barcelona Eintracht,Frankfurt,0,https://www.sofascore.com/football/match/barcelona-eintracht-frankfurt/zdbsrgb#id:14566651
78478,25/26,15200524,Cf Talavera Real,Madrid,0,https://www.sofascore.com/football/match/cf-talavera-real-madrid/EgbstQFb#id:15200524
78478,25/26,14083164,Deportivo Alaves Real,Madrid,0,https://www.sofascore.com/football/match/deportivo-alaves-real-madrid/EgbsKhb#id:14083164
78478,25/26,14195506,Balestier Khalsa,Geylang International,1,https://www.sofascore.com/football/match/geylang-international-balestier-khalsa/OkbsUkb#id:14195506
78478,25/26,14195485,Geylang International,Tampines Rovers,1,https://www.sofascore.com/football/match/geylang-international-tampines-rovers/TkbsUkb#id:14195485
78478,25/26,14195518,Geylang International,Tanjong Pagar United,1,https://www.sofascore.com/football/match/geylang-international-tanjong-pagar-united/NkbsUkb#id:14195518
78478,25/26,15200513,Guadalajara,Barcelona,0,https://www.sofascore.com/football/match/guadalajara-barcelona/rgbsFLj#id:15200513
78478,25/26,14195521,Albirex Niigata Singapore,Hougang United,1,https://www.sofascore.com/football/match/hougang-united-albirex-niigata-singapore/GGnsIGn#id:14195521
78478,25/26,14296929,Geylang International,Hougang United,1,https://www.sofascore.com/football/match/hougang-united-geylang-international/UkbsIGn#id:14296929
78478,25/26,14195515,Lion City Sailors,Hougang United,1,https://www.sofascore.com/football/match/hougang-united-lion-city-sailors/QkbsIGn#id:14195515
78478,25/26,14195504,Tampines Rovers,Hougang United,1,https://www.sofascore.com/football/match/hougang-united-tampines-rovers/TkbsIGn#id:14195504
78478,25/26,14195509,Tanjong Pagar United,Hougang United,1,https://www.sofascore.com/football/match/hougang-united-tanjong-pagar-united/NkbsIGn#id:14195509
78478,25/26,14566611,Inter,Liverpool,0,https://www.sofascore.com/football/match/inter-liverpool/UsXdb#id:14566611
78478,25/26,14211926,Balestier Khalsa,Lion City Sailors,1,https://www.sofascore.com/football/match/lion-city-sailors-balestier-khalsa/OkbsQkb#id:14211926
78478,25/26,14254390,Balestier Khalsa,Lion City Sailors,1,https://www.sofascore.com/football/match/lion-city-sailors-balestier-khalsa/OkbsQkb#id:14254390
78478,25/26,14254859,Lion City Sailors,Tanjong Pagar United,1,https://www.sofascore.com/football/match/lion-city-sailors-tanjong-pagar-united/NkbsQkb#id:14254859
78478,25/26,14083168,Osasuna,Barcelona,0,https://www.sofascore.com/football/match/osasuna-barcelona/rgbsvgb#id:14083168
78478,25/26,14566595,Real Madrid Manchester,City,0,https://www.sofascore.com/football/match/real-madrid-manchester-city/rsEgb#id:14566595
78478,25/26,14083185,Sevilla Real,Madrid,0,https://www.sofascore.com/football/match/sevilla-real-madrid/EgbsIgb#id:14083185
78478,25/26,14195499,Balestier Khalsa,Tampines Rovers,1,https://www.sofascore.com/football/match/tampines-rovers-balestier-khalsa/OkbsTkb#id:14195499
78478,25/26,14195508,Lion City Sailors,Tampines Rovers,1,https://www.sofascore.com/football/match/tampines-rovers-lion-city-sailors/QkbsTkb#id:14195508
78478,25/26,14195484,Tampines Rovers,Tanjong Pagar United,1,https://www.sofascore.com/football/match/tampines-rovers-tanjong-pagar-united/NkbsTkb#id:14195484
