season_id,season_label,event_id,home_team,away_team,fetch_ok,match_url,ok,season_id_stats,away_accurate_passes,away_aerial_duels,away_aerial_duels_total,away_ball_possession,away_big_chances,away_big_chances_missed,away_big_chances_scored,away_big_saves,away_blocked_shots,away_clearances,away_corner_kicks,away_crosses,away_crosses_total,away_dispossessed,away_distance_covered,away_dribbles,away_dribbles_total,away_duels,away_errors_lead_to_a_goal,away_errors_lead_to_a_shot,away_expected_goals,away_final_third_entries,away_final_third_phase,away_final_third_phase_total,away_fouled_in_final_third,away_fouls,away_free_kicks,away_goal_kicks,away_goalkeeper_saves,away_goals_prevented,away_ground_duels,away_ground_duels_total,away_high_claims,away_hit_woodwork,away_interceptions,away_long_balls,away_long_balls_total,away_number_of_sprints,away_offsides,away_passes,away_penalty_saves,away_punches,away_recoveries,away_red_cards,away_shots_inside_box,away_shots_off_target,away_shots_on_target,away_shots_outside_box,away_tackles,away_tackles_won,away_tackles_won_total,away_through_balls,away_throw_ins,away_total_saves,away_total_shots,away_total_shots__totalshotsongoal,away_total_tackles,away_touches_in_penalty_area,away_yellow_cards,home_accurate_passes,home_aerial_duels,home_aerial_duels_total,home_ball_possession,home_big_chances,home_big_chances_missed,home_big_chances_scored,home_big_saves,home_blocked_shots,home_clearances,home_corner_kicks,home_crosses,home_crosses_total,home_dispossessed,home_distance_covered,home_dribbles,home_dribbles_total,home_duels,home_errors_lead_to_a_goal,home_errors_lead_to_a_shot,home_expected_goals,home_final_third_entries,home_final_third_phase,home_final_third_phase_total,home_fouled_in_final_third,home_fouls,home_free_kicks,home_goal_kicks,home_goalkeeper_saves,home_goals_prevented,home_ground_duels,home_ground_duels_total,home_high_claims,home_hit_woodwork,home_interceptions,home_long_balls,home_long_balls_total,home_number_of_sprints,home_offsides,home_passes,home_penalty_saves,home_punches,home_recoveries,home_red_cards,home_shots_inside_box,home_shots_off_target,home_shots_on_target,home_shots_outside_box,home_tackles,home_tackles_won,home_tackles_won_total,home_through_balls,home_throw_ins,home_total_saves,home_total_shots,home_total_shots__totalshotsongoal,home_total_tackles,home_touches_in_penalty_area,home_yellow_cards
78478,25/26,14296929,Hougang Utd,Geylang Int.,1,https://www.sofascore.com/football/match/hougang-united-geylang-international/UkbsIGn#id:14296929,1,78478,376.0,3.0,20.0,49.0,,,,,3.0,7.0,1.0,4.0,8.0,11.0,,12.0,15.0,29.0,,3.0,1.16,,35.0,47.0,,18.0,4.0,3.0,4.0,,40.0,126.0,,2.0,14.0,25.0,40.0,,5.0,425.0,,,,0.0,5.0,1.0,4.0,5.0,2.0,,,1.0,20.0,4.0,10.0,10.0,2.0,11.0,2.0,397.0,10.0,20.0,51.0,,,,,4.0,6.0,5.0,8.0,18.0,4.0,,16.0,22.0,36.0,,0.0,0.79,,57.0,75.0,,15.0,5.0,2.0,1.0,,43.0,127.0,,0.0,12.0,25.0,42.0,,0.0,454.0,,,,2.0,5.0,1.0,4.0,4.0,6.0,,,3.0,13.0,1.0,9.0,9.0,6.0,18.0,0.0
78478,25/26,14195515,Lion City Sailors,Hougang Utd,1,https://www.sofascore.com/football/match/hougang-united-lion-city-sailors/QkbsIGn#id:14195515,1,78478,368.0,13.0,26.0,46.0,,,,,1.0,23.0,3.0,2.0,8.0,4.0,,13.0,18.0,42.0,,3.0,0.61,,31.0,59.0,,10.0,2.0,1.0,1.0,,37.0,91.0,1.0,0.0,15.0,29.0,58.0,,8.0,451.0,,,,0.0,4.0,3.0,2.0,2.0,6.0,,,3.0,17.0,1.0,6.0,6.0,6.0,9.0,2.0,476.0,11.0,26.0,54.0,,,,,2.0,7.0,9.0,6.0,18.0,3.0,,12.0,13.0,32.0,,0.0,0.63,,32.0,51.0,,4.0,4.0,7.0,1.0,,25.0,84.0,1.0,0.0,14.0,23.0,49.0,,1.0,544.0,,,,0.0,6.0,6.0,3.0,5.0,0.0,,,1.0,19.0,1.0,11.0,11.0,0.0,16.0,2.0
78478,25/26,14195504,Hougang Utd,Tampines Rovers,1,https://www.sofascore.com/football/match/hougang-united-tampines-rovers/TkbsIGn#id:14195504,1,78478,535.0,5.0,15.0,56.0,,,,,3.0,10.0,6.0,2.0,11.0,3.0,,13.0,15.0,39.0,,0.0,1.02,,63.0,77.0,,9.0,3.0,4.0,3.0,,34.0,85.0,,0.0,7.0,23.0,39.0,,3.0,589.0,,,,0.0,8.0,4.0,7.0,6.0,4.0,,,5.0,13.0,3.0,14.0,14.0,4.0,21.0,1.0,367.0,7.0,12.0,44.0,,,,,3.0,12.0,4.0,3.0,9.0,11.0,,5.0,9.0,39.0,,1.0,0.32,,34.0,46.0,,12.0,1.0,8.0,5.0,,35.0,94.0,,0.0,10.0,21.0,46.0,,1.0,420.0,,,,0.0,2.0,1.0,3.0,5.0,1.0,,,0.0,10.0,5.0,7.0,7.0,1.0,8.0,2.0
78478,25/26,14195509,Tanjong Pagar Utd.,Hougang Utd,1,https://www.sofascore.com/football/match/hougang-united-tanjong-pagar-united/NkbsIGn#id:14195509,1,78478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78478,25/26,14211926,Balestier Khalsa,Lion City Sailors,1,https://www.sofascore.com/football/match/lion-city-sailors-balestier-khalsa/OkbsQkb#id:14211926,1,78478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78478,25/26,14254390,Balestier Khalsa,Lion City Sailors,1,https://www.sofascore.com/football/match/lion-city-sailors-balestier-khalsa/OkbsQkb#id:14254390,1,78478,420.0,11.0,22.0,52.0,,,,,1.0,9.0,7.0,9.0,19.0,4.0,,17.0,21.0,41.0,,0.0,3.21,,41.0,53.0,,11.0,0.0,7.0,4.0,,36.0,90.0,1.0,1.0,11.0,21.0,37.0,,4.0,472.0,,,,0.0,14.0,11.0,8.0,7.0,1.0,,,5.0,19.0,4.0,21.0,21.0,1.0,35.0,1.0,338.0,9.0,19.0,48.0,,,,,1.0,18.0,3.0,4.0,11.0,10.0,,10.0,12.0,38.0,,9.0,0.48,,39.0,56.0,,6.0,4.0,17.0,3.0,,35.0,94.0,0.0,0.0,10.0,20.0,42.0,,2.0,394.0,,,,0.0,2.0,3.0,4.0,6.0,2.0,,,1.0,8.0,3.0,8.0,8.0,2.0,7.0,0.0
78478,25/26,14254859,Tanjong Pagar Utd.,Lion City Sailors,1,https://www.sofascore.com/football/match/lion-city-sailors-tanjong-pagar-united/NkbsQkb#id:14254859,1,78478,480.0,10.0,20.0,56.0,,,,,8.0,12.0,11.0,7.0,21.0,3.0,,19.0,23.0,41.0,,1.0,1.98,,39.0,54.0,,7.0,2.0,6.0,0.0,,36.0,90.0,,1.0,23.0,21.0,34.0,,4.0,538.0,,,,0.0,14.0,7.0,11.0,13.0,3.0,,,1.0,22.0,0.0,27.0,27.0,3.0,36.0,0.0,344.0,8.0,19.0,44.0,,,,,2.0,32.0,2.0,0.0,7.0,5.0,,4.0,9.0,26.0,,3.0,0.42,,25.0,43.0,,3.0,2.0,8.0,5.0,,22.0,93.0,,0.0,18.0,25.0,41.0,,2.0,394.0,,,,0.0,1.0,4.0,0.0,5.0,2.0,,,2.0,15.0,5.0,6.0,6.0,2.0,5.0,0.0
78478,25/26,14195499,Tampines Rovers,Balestier Khalsa,1,https://www.sofascore.com/football/match/tampines-rovers-balestier-khalsa/OkbsTkb#id:14195499,1,78478,315.0,6.0,17.0,44.0,,,,,3.0,11.0,9.0,5.0,22.0,5.0,,14.0,18.0,35.0,,4.0,1.66,,36.0,48.0,,8.0,3.0,9.0,2.0,,38.0,106.0,,0.0,7.0,23.0,41.0,,2.0,388.0,,,,0.0,9.0,5.0,6.0,5.0,0.0,,,1.0,15.0,2.0,14.0,14.0,0.0,24.0,2.0,476.0,9.0,17.0,56.0,,,,,6.0,25.0,5.0,5.0,13.0,7.0,,12.0,14.0,37.0,,1.0,2.29,,45.0,57.0,,9.0,0.0,9.0,3.0,,30.0,88.0,,0.0,15.0,23.0,39.0,,3.0,528.0,,,,0.0,14.0,7.0,5.0,4.0,1.0,,,1.0,13.0,3.0,18.0,18.0,1.0,29.0,1.0
78478,25/26,14195508,Tampines Rovers,Lion City Sailors,1,https://www.sofascore.com/football/match/tampines-rovers-lion-city-sailors/QkbsTkb#id:14195508,1,78478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78478,25/26,14195484,Tanjong Pagar Utd.,Tampines Rovers,1,https://www.sofascore.com/football/match/tampines-rovers-tanjong-pagar-united/NkbsTkb#id:14195484,1,78478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
